Aux,Fecha,Jornada,ID_PARTIDO,Arbitro,Equipo_local,Equipo_Visitante,Jugador,Assists,Blocked shots,Corners won,Crosses,Fouls conceded,Fouls won,Goals,Offsides,Passes,Red cards,Saves,Shots,Shots on target,Tackles,Yellow cards
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,K. Lala,0,1,0,7,1,3,0,0,38,0,0,1,0,3,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,R. Majecki,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,L. Ajorque,0,1,3,0,4,1,0,0,30,0,0,3,2,1,1
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,B. Chardonnet,0,0,0,0,0,0,0,0,52,0,0,1,0,1,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,B. Locko,0,0,1,7,0,0,0,0,28,0,0,1,1,3,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,P. Mboup,0,0,2,0,2,4,0,0,15,0,0,1,1,2,1
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,H. Magnetti,0,1,0,1,1,1,0,0,55,0,0,3,0,5,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,J. Diaz,0,0,0,0,0,0,0,0,46,0,0,0,0,1,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,J. Chotard,0,0,0,2,0,0,0,0,51,0,0,1,0,1,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,K. Doumbia,0,4,5,11,2,2,0,0,33,0,0,5,0,3,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,J. Dina Ebimbe,0,0,1,1,1,0,0,1,7,0,0,1,1,3,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,H. Makalou,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,D. Guindo,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,Mostafa Mohamed,0,1,0,0,2,0,0,0,7,0,0,3,0,1,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,Hong Hyun-Seok,0,0,0,3,0,1,0,1,15,0,0,0,0,3,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,M. Lahdo,0,0,0,0,2,0,0,0,27,0,0,0,0,2,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,Kwon Hyeok-Kyu,0,0,0,0,2,2,0,0,35,0,0,0,0,1,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,L. Leroux,0,0,1,3,0,0,0,0,33,0,0,0,0,0,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,J. Mwanga,0,0,0,0,0,0,0,0,54,0,0,0,0,1,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,C. Awaziem,0,0,0,0,1,2,0,0,71,0,0,0,0,0,1
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,M. Abline,0,1,2,0,2,1,0,0,18,0,0,3,0,1,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,D. Tabibou,0,0,0,4,1,1,0,0,42,0,0,0,0,4,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,K. Amian,0,0,0,1,1,1,0,0,48,0,0,0,0,0,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,Anthony Lopes,0,0,0,0,0,2,0,0,30,0,5,0,0,0,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,H. Guirassy,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,B. Deuff,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,Y. El-Arabi,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
61,4 Oct 2025,,7pwcv40os2bpgrh3td8elxhxw,Gaël Angoula,Stade Brestois 29,FC Nantes,N. Cozza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,M. Senaya,0,1,0,1,1,1,0,0,57,0,0,2,1,0,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,L. Sinayoko,0,2,1,1,0,1,0,0,24,0,0,3,0,1,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,J. Casimir,0,0,0,7,3,3,0,0,44,0,0,0,0,1,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,K. Danois,0,1,0,0,0,1,0,0,72,0,0,1,0,6,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,C. Akpa,0,0,0,6,0,4,0,0,64,0,0,2,0,5,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,D. Léon,0,0,0,0,0,0,0,0,28,0,2,0,0,0,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,E. Owusu,0,0,0,0,2,0,0,0,49,0,0,0,0,3,1
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,S. Mara,0,3,0,0,2,3,0,0,17,0,0,4,0,2,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,D. Namaso,0,0,0,1,2,2,0,0,36,0,0,2,0,0,1
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,G. Mensah,0,0,0,3,0,1,0,0,51,0,0,0,0,1,1
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,F. Sierralta,0,2,0,0,0,0,1,0,52,0,0,4,1,1,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,I. Osman,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,R. Matondo,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,L. Sy,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,O. Édouard,0,0,0,0,0,0,1,0,5,0,0,2,2,0,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,A. Thomasson,2,0,0,2,4,1,0,0,44,0,0,0,0,3,1
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,W. Saïd,0,1,0,0,3,0,0,1,29,0,0,1,0,0,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,M. Sarr,0,0,0,0,1,1,0,0,46,0,0,1,0,4,1
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,S. Baidoo,0,0,1,0,1,1,0,0,35,0,0,1,1,1,1
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,P. Ganiou,0,0,0,1,4,1,0,0,44,1,0,0,0,1,2
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,R. Aguilar,0,0,0,1,2,1,0,0,34,0,0,0,0,1,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,M. Sangaré,0,0,0,0,1,1,0,0,47,0,0,0,0,3,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,R. Risser,0,0,0,0,0,0,0,0,25,0,1,0,0,0,1
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,M. Udol,0,0,1,0,2,2,0,0,33,0,0,0,0,1,0
62,4 Oct 2025,,7q9habd412g1giclzyhxwqm1g,François Letexier,Association Jeunesse Auxerroise,Racing Club de Lens,F. Thauvin,0,0,0,0,1,0,0,0,33,0,0,0,0,0,1
