Aux,Fecha,Jornada,ID_PARTIDO,Arbitro,Equipo_local,Equipo_Visitante,Jugador,Assists,Blocked shots,Corners won,Crosses,Fouls conceded,Fouls won,Goals,Offsides,Passes,Red cards,Saves,Shots,Shots on target,Tackles,Yellow cards
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,E. Can,0,0,0,0,1,0,1,0,53,0,0,1,1,0,0
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,J. Bellingham,0,1,0,0,1,1,0,0,50,0,0,2,0,2,0
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,W. Anton,0,0,0,1,0,0,0,0,38,0,0,0,0,6,0
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,J. Brandt,0,1,0,1,0,0,0,2,30,0,0,1,0,1,0
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,F. Nmecha,0,0,0,0,5,0,0,0,35,0,0,1,0,2,0
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,S. Guirassy,0,0,0,1,2,1,0,1,27,0,0,2,1,0,0
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,M. Beier,1,1,0,2,2,1,1,0,34,0,0,3,2,2,1
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,G. Kobel,0,0,0,0,0,0,0,0,38,0,3,0,0,0,0
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,J. Ryerson,0,1,1,6,0,1,0,0,28,0,0,1,0,2,0
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,C. Chukwuemeka,0,0,0,0,0,1,0,0,31,0,0,1,0,2,0
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,N. Schlotterbeck,0,0,0,1,1,3,0,0,52,0,0,0,0,4,0
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,D. Svensson,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0
92,22 Nov 2025,,dv3pyqp0u9k0vzrwxfqyw7pqs,Benjamin Brand,BV Borussia 09 Dortmund,VfB Stuttgart 1893,K. Adeyemi,0,0,1,0,0,0,1,0,6,0,0,2,2,0,0
