Aux,Fecha,Jornada,ID_PARTIDO,Arbitro,Equipo_local,Equipo_Visitante,Jugador,Assists,Blocked shots,Corners won,Crosses,Fouls conceded,Fouls won,Goals,Offsides,Passes,Red cards,Saves,Shots,Shots on target,Tackles,Yellow cards
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,H. Ahanor,0,0,0,0,1,1,0,0,49,0,0,1,0,1,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,I. Hien,0,0,0,0,1,0,0,0,63,0,0,0,0,1,1
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,M. Pašalić,0,0,0,0,0,0,0,0,64,0,0,1,0,1,1
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,D. Zappacosta,0,1,3,6,0,0,0,1,63,0,0,4,1,2,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,C. De Ketelaere,0,0,1,2,3,1,0,0,32,0,0,1,0,2,1
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,K. Sulemana,0,0,2,1,1,1,0,0,23,0,0,1,0,0,1
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,B. Djimsiti,0,0,0,1,0,0,0,0,72,0,0,0,0,1,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,M. Carnesecchi,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,L. Bernasconi,0,1,0,9,1,0,0,1,59,0,0,1,0,2,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,Éderson,0,0,0,1,2,2,0,0,70,0,0,1,1,2,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,A. Lookman,0,0,1,5,0,0,0,1,23,0,0,2,1,2,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,G. Scalvini,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,N. Krstović,0,1,0,0,1,0,0,0,4,0,0,3,2,0,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,M. de Roon,0,0,0,0,0,0,0,0,31,0,0,1,1,0,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,D. Maldini,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,B. Dia,0,0,0,0,0,0,0,0,33,0,0,0,0,3,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,Mario Gila,0,0,0,1,0,1,0,0,53,0,0,0,0,6,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,A. Romagnoli,0,0,0,0,1,0,0,0,39,0,0,0,0,2,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,M. Cancellieri,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,A. Marušić,0,0,0,0,0,0,0,0,36,0,0,0,0,2,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,D. Cataldi,0,0,0,1,1,0,0,0,42,0,0,0,0,2,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,Nuno Tavares,0,0,0,0,1,1,0,0,55,0,0,1,0,0,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,M. Guendouzi,0,0,0,0,0,0,0,0,46,0,0,1,0,2,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,T. Bašić,0,0,0,1,0,0,0,0,35,0,0,1,1,3,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,M. Zaccagni,0,0,0,1,0,3,0,0,34,0,0,0,0,2,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,I. Provedel,0,0,0,0,0,0,0,0,34,0,6,0,0,0,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,G. Isaksen,0,0,1,1,2,3,0,0,20,0,0,0,0,2,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,M. Vecino,0,1,0,0,0,0,0,0,8,0,0,1,0,1,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,Pedro,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,O. Provstgaard,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
61,19 Oct 2025,,d6dhthqfbbqbffuo2pxce5kpg,Giuseppe Collu,Atalanta Bergamasca Calcio,SS Lazio,M. Lazzari,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
62,19 Oct 2025,,d6rs8i22079apm2uhqqg71edw,Matteo Marchetti,Cagliari Calcio,Bologna FC 1909,M. Prati,0,0,0,0,2,1,0,0,23,0,0,0,0,2,0
62,19 Oct 2025,,d6rs8i22079apm2uhqqg71edw,Matteo Marchetti,Cagliari Calcio,Bologna FC 1909,S. Luperto,0,0,0,0,0,1,0,0,47,0,0,1,1,0,0
62,19 Oct 2025,,d6rs8i22079apm2uhqqg71edw,Matteo Marchetti,Cagliari Calcio,Bologna FC 1909,M. Felici,0,0,1,2,1,3,0,0,8,0,0,1,1,1,0
62,19 Oct 2025,,d6rs8i22079apm2uhqqg71edw,Matteo Marchetti,Cagliari Calcio,Bologna FC 1909,S. Esposito,0,0,1,5,1,0,0,0,21,0,0,0,0,0,1
62,19 Oct 2025,,d6rs8i22079apm2uhqqg71edw,Matteo Marchetti,Cagliari Calcio,Bologna FC 1909,M. Folorunsho,0,0,0,3,2,3,0,1,14,0,0,0,0,2,0
62,19 Oct 2025,,d6rs8i22079apm2uhqqg71edw,Matteo Marchetti,Cagliari Calcio,Bologna FC 1909,E. Caprile,0,0,0,0,0,0,0,0,28,0,5,0,0,0,0
62,19 Oct 2025,,d6rs8i22079apm2uhqqg71edw,Matteo Marchetti,Cagliari Calcio,Bologna FC 1909,A. Obert,0,0,0,1,2,1,0,0,41,0,0,0,0,1,0
62,19 Oct 2025,,d6rs8i22079apm2uhqqg71edw,Matteo Marchetti,Cagliari Calcio,Bologna FC 1909,G. Zappa,0,0,0,0,1,0,0,0,23,0,0,0,0,1,0
62,19 Oct 2025,,d6rs8i22079apm2uhqqg71edw,Matteo Marchetti,Cagliari Calcio,Bologna FC 1909,Y. Mina,0,0,0,0,0,2,0,1,27,0,0,0,0,1,0
62,19 Oct 2025,,d6rs8i22079apm2uhqqg71edw,Matteo Marchetti,Cagliari Calcio,Bologna FC 1909,M. Palestra,0,0,0,1,1,3,0,1,21,0,0,0,0,3,0
62,19 Oct 2025,,d6rs8i22079apm2uhqqg71edw,Matteo Marchetti,Cagliari Calcio,Bologna FC 1909,M. Adopo,0,0,0,0,3,0,0,1,17,0,0,0,0,1,0
