Aux,Fecha,Jornada,ID_PARTIDO,Arbitro,Equipo_local,Equipo_Visitante,Jugador,Assists,Blocked shots,Corners won,Crosses,Fouls conceded,Fouls won,Goals,Offsides,Passes,Red cards,Saves,Shots,Shots on target,Tackles,Yellow cards
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Manu Nieto,0,0,0,0,0,3,0,1,16,0,0,1,0,0,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Sergio Molina,0,2,1,2,4,0,0,0,50,0,0,2,0,0,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Imanol García de Albéniz,0,0,3,10,3,0,0,0,38,0,0,0,0,1,1
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Jesús Owono,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Bomba,0,0,0,0,1,0,0,0,55,0,0,0,0,0,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Kim Min-Su,0,2,2,3,2,0,0,0,28,0,0,3,1,2,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Dani Villahermosa,0,1,1,2,2,0,0,0,42,0,0,1,0,2,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Gael Alonso,0,0,0,0,1,4,0,0,63,0,0,1,0,0,1
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,T. Le Normand,0,0,1,1,2,1,0,0,15,0,0,0,0,1,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,T. Carrique,0,1,1,2,1,4,0,0,27,0,0,1,0,1,1
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Aingeru Olabarrieta,0,0,0,2,2,1,0,0,13,0,0,2,0,0,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Jastin García,0,0,0,1,0,0,0,0,12,0,0,1,1,1,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Marc Domènech,0,1,1,2,0,0,0,1,11,0,0,2,1,2,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,L. de León,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Josep Cerdà,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,B. Kovačević,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Álvaro García Pascual,0,0,0,0,4,2,0,0,16,0,0,0,0,0,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Suso,0,0,0,2,0,0,0,0,30,0,0,1,0,0,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Sergio Ortuño,0,0,0,0,0,1,0,0,37,0,0,0,0,1,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Juan Díaz,0,0,1,0,0,2,0,0,30,0,0,0,0,0,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,M. Diakité,0,0,0,0,1,3,0,0,29,0,0,0,0,5,0
127,2 Nov 2025,,4xiz7c5qb9jn37kz0u16vnp5g,Miguel González Díaz,FC Andorra,Cádiz CF,Pelayo Fernández,0,0,0,0,3,0,0,1,40,0,0,0,0,1,0
