Aux,Fecha,Jornada,ID_PARTIDO,Arbitro,Equipo_local,Equipo_Visitante,Jugador,Assists,Blocked shots,Corners won,Crosses,Fouls conceded,Fouls won,Goals,Offsides,Passes,Red cards,Saves,Shots,Shots on target,Tackles,Yellow cards
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,A. Lookman,0,0,1,0,2,1,0,1,23,0,0,2,2,1,0
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,Koke,0,0,0,3,1,1,0,0,67,0,0,0,0,2,0
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,D. Hancko,1,1,0,1,1,2,0,0,95,0,0,3,0,3,1
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,Dani Martínez,0,1,1,2,0,0,0,0,55,0,0,1,0,2,0
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,Arnau Ortiz,0,0,0,3,0,1,0,1,7,0,0,0,0,1,0
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,Rodrigo Mendoza,0,1,1,0,0,0,0,0,22,0,0,3,2,2,0
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,Robin Le Normand,0,0,0,0,1,1,0,0,30,0,0,0,0,2,0
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,Pablo Barrios,0,0,0,0,0,2,0,0,58,0,0,0,0,0,0
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,J. Oblak,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,Carlos Martín,0,0,1,1,4,0,0,0,20,0,0,2,0,0,0
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,Jorge Domínguez,0,0,0,1,4,0,0,0,13,0,0,0,0,2,1
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,Marcos Llorente,0,0,0,0,2,0,0,0,33,0,0,0,0,1,0
2,19 Aug 2026,,6z77qknhbwckkkciwzs085yj8,Adrián Cordero Vega,Club Atlético de Madrid,Málaga CF,Álex Baena,0,0,1,3,1,1,1,0,20,0,0,1,1,0,0
