Aux,Fecha,Jornada,ID_PARTIDO,Arbitro,Equipo_local,Equipo_Visitante,Jugador,Assists,Blocked shots,Corners won,Crosses,Fouls conceded,Fouls won,Goals,Offsides,Passes,Red cards,Saves,Shots,Shots on target,Tackles,Yellow cards
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,Matheus Silva,0,0,2,2,0,2,0,0,55,0,0,0,0,2,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,B. Hüseynov,0,0,0,0,1,0,0,0,57,0,0,0,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,Pedro Bicalho,0,2,0,0,1,0,0,0,39,0,0,3,1,4,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,M. Kochalski,0,0,0,0,0,0,0,0,37,0,4,0,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,B. Várkonyi,0,1,1,0,0,0,0,0,62,0,0,2,0,8,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,Bruno Langa,0,0,0,0,0,1,0,0,19,0,0,3,2,1,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,A. Zoubir,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,M. Janković,0,0,0,0,2,3,0,0,32,0,0,0,0,3,1
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,Kady Borges,0,0,0,6,0,1,0,1,28,0,0,1,1,1,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,O. Kashchuk,0,1,1,3,0,3,0,1,6,0,0,1,0,1,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,Z. Sawo,0,0,1,1,2,0,0,0,13,0,0,2,0,1,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,E. Cəfərquliyev,0,0,1,1,0,0,0,0,18,0,0,1,0,4,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,R. Cephas,0,0,2,3,0,3,0,0,4,0,0,0,0,1,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,Č. Makreckis,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,J. Mouaddib,0,0,0,0,2,1,0,0,7,0,0,2,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,Joni Montiel,0,0,0,3,0,0,0,0,16,0,0,1,1,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,S. Sensi,0,0,0,2,3,3,0,0,49,0,0,0,0,5,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,J. Gbamin,0,0,0,0,0,0,0,0,37,0,0,0,0,1,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,F. Lapoukhov,0,0,0,0,0,1,0,0,30,0,5,0,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,Á. Martino,0,0,0,0,2,0,0,0,33,0,0,1,1,4,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,L. Godoy,0,1,1,0,1,0,0,2,9,0,0,3,1,1,1
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,F. Rodríguez,0,0,0,1,2,0,0,0,33,0,0,0,0,0,1
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,T. Ivanov,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,M. Ebong,0,0,0,2,3,1,0,0,22,0,0,0,0,1,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,Pastor,0,0,0,3,1,0,0,0,28,0,0,1,1,2,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,I. Pittas,0,4,1,1,1,1,0,1,15,0,0,7,1,4,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,Bruno Jordão,0,1,0,1,0,2,0,0,41,0,0,1,0,2,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,J. Zwarts,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,I. Solet,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
43,23 Jul 2026,,cducym0x0wmfcxd58e93k8q38,Daniele Chiffi,Qarabağ Ağdam FK,PFK CSKA Sofia,T. Ouorou,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
